iddriver;position;driver;driver_points;constructor;constructor_position;country
1;1; Lewis Hamilton;363;Mercedes-668;1;Germany
2;2; Sebastian Vettel;317;Ferrari-522;2;Italy
3;3; Valtteri Bottas;305;Mercedes-668;1;Germany
4;4; Kimi R?ikk?nen;205;Ferrari-522;2;Italy
5;5; Daniel Ricciardo;200;Red Bull Racing-TAG Heue-368;3;Austria
6;6; Max Verstappen;168;Red Bull Racing-TAG Heue-368;3;Austria
7;7; Sergio P?rez;100;Force India-Mercedes-187;4;India
8;8; Esteban Ocon;87;Force India-Mercedes-187;4;India
9;9; Carlos Sainz Jr.;54;Renault-57;6;France
10;10; Nico H?lkenberg;43;Renault-57;6;France
11;11; Felipe Massa;43;Williams-Mercedes-83;5;United Kingdom
12;12; Lance Stroll;40;Williams-Mercedes-83;5;United Kingdom
13;13; Romain Grosjean;28;Haas-Ferrari-47;8;USA
14;14; Kevin Magnussen;19;Haas-Ferrari-47;8;USA
15;15; Fernando Alonso;17;McLaren-Honda-30;9;United Kingdom
16;16; Stoffel Vandoorne;13;McLaren-Honda-30;9;United Kingdom
17;17; Jolyon Palmer;8;Renault-57;6;France
18;18; Pascal Wehrlein;5;Sauber-Ferrari-5;10;Switzerland
19;19; Daniil Kvyat;5;Toro Rosso-53;7;Italy
20;20; Marcus Ericsson;0;Sauber-Ferrari-5;10;Switzerland
21;21; Pierre Gasly;0;Toro Rosso-53;7;Italy
22;22; Antonio Giovinazzi;0;Sauber-Ferrari-5;10;Switzerland
23;23; Brendon Hartley;0;Toro Rosso-53;7;Italy
24;24; Jenson Button;0;McLaren-Honda-30;9;United Kingdom
25;25; Paul di Resta;0;Williams-Mercedes-83;5;United Kingdom
